index,audio_filename,duration_sec,start_timecode,end_timecode,duration_frames,is_scene_start,scene_lead_in_sec,speaker,text
1,OrionS2_001.mp3,4.53,00:00:00:00,00:00:04:19,135,NO,0.00,narrator,送ったメッセージに「既読」がついたまま、返信が来ない——
2,OrionS2_002.mp3,3.77,00:00:04:19,00:00:08:16,113,NO,0.00,narrator,その沈黙に、心がざわついたことはありませんか？
3,OrionS2_003.mp3,3.41,00:00:08:16,00:00:12:03,102,NO,0.00,narrator,この沈黙は、拒絶のサインなのか。
4,OrionS2_004.mp3,3.01,00:00:12:03,00:00:15:06,90,NO,0.00,narrator,それとも、まだ言葉にならない何かが——
5,OrionS2_005.mp3,2.93,00:00:15:06,00:00:18:07,87,NO,0.00,narrator,相手の中で熟成されている時間なのか？
6,OrionS2_006.mp3,2.49,00:00:18:07,00:00:20:23,74,NO,0.00,narrator,ようこそ、<sub alias='オリオン'>Orion</sub>の会議室へ。
7,OrionS2_007.mp3,2.65,00:00:20:23,00:00:23:16,79,NO,0.00,narrator,今夜のテーマは「既読<sub alias='スルー'>skip</sub>の哲学」。
8,OrionS2_008.mp3,3.09,00:00:23:16,00:00:26:21,92,NO,0.00,narrator,古今東西の叡智を星座のように結び——
9,OrionS2_009.mp3,3.73,00:00:26:21,00:00:30:17,111,NO,0.00,narrator,現代の悩みに新しい視座を見つける8分間。
10,OrionS2_010.mp3,2.13,00:00:30:17,00:00:32:23,63,NO,0.00,narrator,今夜めぐる星々は——
11,OrionS2_011.mp3,4.41,00:00:32:23,00:00:37:10,132,NO,0.00,narrator,「語りえぬものには沈黙せよ」という言葉の限界。
12,OrionS2_012.mp3,5.41,00:00:37:10,00:00:42:27,162,NO,0.00,narrator,宇宙の85%を占めながら、誰にも見えない「暗黒物質」。
13,OrionS2_013.mp3,2.13,00:00:42:27,00:00:45:04,63,NO,0.00,narrator,他者の「顔」がなければ——
14,OrionS2_014.mp3,3.13,00:00:45:04,00:00:48:11,93,NO,0.00,narrator,本当の対話は生まれないという洞察。
15,OrionS2_015.mp3,3.65,00:00:48:11,00:00:52:05,109,NO,0.00,narrator,そして、大切なことほど言葉にしない——
16,OrionS2_016.mp3,2.85,00:00:52:05,00:00:55:03,85,NO,0.00,narrator,古代日本の「言挙げせず」の知恵。
17,OrionS2_017.mp3,5.45,00:00:55:03,00:01:00:21,163,NO,0.00,narrator,バラバラの星々が、沈黙の向こう側にある物語を紡ぎ始めます。
18,OrionS2_018.mp3,4.17,00:01:00:21,00:01:05:01,125,NO,0.00,inner_voice,金曜日の午後。上司への提案<sub alias='メール'>mail</sub>を送った。
19,OrionS2_019.mp3,3.61,00:01:05:01,00:01:08:23,108,NO,0.00,inner_voice,既読がついた。でも、返信がない。
20,OrionS2_020.mp3,1.45,00:01:08:23,00:01:10:08,43,NO,0.00,inner_voice,1時間、2時間……
21,OrionS2_021.mp3,3.37,00:01:10:08,00:01:13:22,101,NO,0.00,inner_voice,「何か気に障ることを書いてしまったのだろうか」
22,OrionS2_022.mp3,3.85,00:01:13:22,00:01:17:21,115,NO,0.00,inner_voice,頭の中で、送った文面を何度も反芻する。
23,OrionS2_023.mp3,2.57,00:01:17:21,00:01:20:12,77,NO,0.00,inner_voice,週末が、重くのしかかる。
24,OrionS2_024.mp3,3.53,00:01:20:12,00:01:24:01,105,NO,0.00,narrator,私たちは今、かつてないほど「つながって」いる。
25,OrionS2_025.mp3,4.05,00:01:24:01,00:01:28:07,121,NO,0.00,narrator,でも、そのつながりが、かつてないほど不安を生んでいる。
26,OrionS2_026.mp3,5.05,00:01:28:07,00:01:33:13,151,NO,0.00,narrator,なぜ「既読」という二文字が、これほど心を乱すのでしょうか。
27,OrionS2_027.mp3,0.97,00:01:33:13,00:01:34:13,29,NO,0.00,narrator,20世紀初頭の<sub alias='ウィーン'>Wien</sub>。
28,OrionS2_028.mp3,3.17,00:01:34:13,00:01:37:21,95,NO,0.00,narrator,哲学者<sub alias='ルートヴィヒ・ヴィトゲンシュタイン'>Ludwig Wittgenstein</sub>は——
29,OrionS2_029.mp3,3.17,00:01:37:21,00:01:41:00,95,NO,0.00,narrator,言葉の限界について考え抜いていました。
30,OrionS2_030.mp3,4.77,00:01:41:00,00:01:45:27,142,NO,0.00,narrator,彼は29歳で、たった75<sub alias='ページ'>page</sub>の本を書き上げました。
31,OrionS2_031.mp3,1.97,00:01:45:27,00:01:47:28,59,NO,0.00,narrator,『論理哲学論考』。
32,OrionS2_032.mp3,3.01,00:01:47:28,00:01:51:03,90,NO,0.00,narrator,その最後の一文は、こう結ばれています。
33,OrionS2_033.mp3,3.89,00:01:51:03,00:01:55:03,116,NO,0.00,philosopher,「語りえぬものについては、沈黙せねばならない」
34,OrionS2_034.mp3,3.05,00:01:55:03,00:01:58:08,91,NO,0.00,narrator,——『論理哲学論考』命題7
35,OrionS2_035.mp3,4.05,00:01:58:08,00:02:02:13,121,NO,0.00,narrator,言葉で論理的に語れる領域には、限界がある。
36,OrionS2_036.mp3,2.61,00:02:02:13,00:02:05:04,78,NO,0.00,narrator,そして本当に大切なこと——
37,OrionS2_037.mp3,3.93,00:02:05:04,00:02:09:06,117,NO,0.00,narrator,倫理や美や人生の意味——は——
38,OrionS2_038.mp3,3.49,00:02:09:06,00:02:12:24,104,NO,0.00,narrator,しばしばその限界の「向こう側」にある。
39,OrionS2_039.mp3,4.29,00:02:12:24,00:02:17:07,128,NO,0.00,narrator,私たちは、<sub alias='テキスト'>text</sub><sub alias='メッセージ'>message</sub>という「言葉だけ」で——
40,OrionS2_040.mp3,2.57,00:02:17:07,00:02:19:26,77,NO,0.00,narrator,相手を理解しようとしていないでしょうか。
41,OrionS2_041.mp3,2.45,00:02:19:26,00:02:22:13,73,NO,0.00,narrator,言葉の限界の向こう側に——
42,OrionS2_042.mp3,3.61,00:02:22:13,00:02:26:05,108,NO,0.00,narrator,実はもっと広大な領域が広がっているとしたら？
