Case,タイプ,テキスト,出典／役割,音声割り当て,備考
16,引用,語りえぬものについては、沈黙せねばならない。,ヴィトゲンシュタイン『論理哲学論考』,老年男性A,
16,引用,言葉の意味とは、言語におけるその使用である。,ヴィトゲンシュタイン『哲学探究』,老年男性B,
16,引用,葦原の瑞穂の国は神ながら言挙げせぬ国,『万葉集』巻十三,老年男性C,
16,セリフ,何か気に障ることを書いてしまったのだろうか,主人公（内心）,若手女性,
16,セリフ,怒っているのかも,主人公（内心）,若手女性,02:45
16,セリフ,嫌われたのかも,主人公（内心）,若手女性,02:45
16,セリフ,嫌われたのかも,主人公（内心）,若手女性,06:48 繰り返し
16,セリフ,怒っているのかも,主人公（内心）,若手女性,06:48 繰り返し
16,セリフ,嫌われた,主人公（内心）,若手女性,07:26
16,セリフ,怒っている,主人公（内心）,若手女性,07:26
17,引用,自己意識は、承認されることによってのみ成り立つ。,ヘーゲル,老年男性D,
17,引用,私たちは互いに鏡となり、そこに映る相手の姿を見ている。,クーリー,老年男性A,
17,引用,和を以て貴しと為す,聖徳太子（十七条憲法）,老年男性B,
17,引用,たとえ不完全でも、自らの務めに生きることが尊い。,バガヴァッド・ギーター（ダルマ）,老年男性C,
17,セリフ,よくやったね,上司,中年男性,
17,セリフ,いえいえ,主人公,若手女性,
17,セリフ,お疲れさまでした,ナレーション内セリフ,若手男性,01:28
17,セリフ,素晴らしいリーダーシップでした,同僚,若手男性,01:14
17,セリフ,佐藤さん、素晴らしい発想ですね,上司（例示）,中年男性,04:20
17,セリフ,あの資料、助かったよ,主人公,若手女性,07:11 着地
18,引用,犠牲者は、そのコミュニケーション自体について語ることができない,ベイトソン（ダブルバインド）,老年男性D,
18,引用,意志の自律とは、意志が自分自身に対して法則となるという性質である,カント,老年男性A,
18,引用,両掌打って声あり、隻手に何の声やある,白隠慧鶴,老年男性B,
18,セリフ,大胆に攻めてくれ,部長,中年男性,00:03
18,セリフ,慎重にね,部長,中年男性,00:03
18,セリフ,来週の企画書、もっと大胆に攻めてくれ,部長（メール）,中年男性,01:10
18,セリフ,あの企画、リスク管理の観点から慎重にね,課長,中年男性B,01:14
18,セリフ,私を愛していないの？,母親（ベイトソン例）,中年女性,01:57
18,セリフ,両手を打てば音がする。では、片手の音を聞いてみよ,白隠（解説）,老年男性C,引用の現代語訳
19,引用,観念の伝達ではなく、人と人との結びつきを確立するために機能する発話がある。,マリノフスキー,老年男性D,
19,引用,倫理問題の場所は、孤立的個人の意識にではなく、人と人との間柄にある。,和辻哲郎,老年男性A,
19,セリフ,今日は暑いですね,主人公（エレベーター）,若手女性,00:04
19,セリフ,あれ、あの人、今どんな顔をしていただろう？,主人公（内心）,若手女性,01:31
19,セリフ,最近どうですか？,主人公,若手女性,06:47 着地
19,セリフ,いやあ、ちょっとバタバタしてて,同僚,若手男性,06:51
19,セリフ,わかります、私もです,主人公,若手女性,06:51
19,セリフ,今日はいい天気だね,村人（マリノフスキー例）,若手男性,02:17
19,セリフ,元気かい？,村人（マリノフスキー例）,若手男性,02:17
19,セリフ,今日も暑いですね,主人公（リフレーミング）,若手女性,06:20
20,引用,仕事は、完成のために与えられた時間いっぱいに膨張する,パーキンソン,老年男性B,
20,引用,純粋な持続とは、私たちの意識状態の継起がとる形である,ベルクソン,老年男性C,
20,引用,而今の山水は、古仏の道現成なり,道元『正法眼蔵』,老年男性D,
20,セリフ,金曜までに企画書を,上司,中年男性,01:02
20,セリフ,明日から本気出す,主人公（内心）,若手男性,01:21
20,セリフ,なぜ、毎回こうなるんだ,主人公（内心）,若手男性,01:49
20,セリフ,私は今、どの時間を生きているのか,主人公（問い）,若手男性,08:14
21,引用,非公式組織は、公式組織の運営に不可欠である,バーナード,老年男性A,
21,引用,術者、藏之於胸中,韓非子,老年男性B,原文漢文
21,引用,術とは、胸中に蔵するものなり,韓非子,老年男性C,現代語訳
21,引用,水を本として、心を水になすなり,宮本武蔵『五輪書』,老年男性D,原文
21,引用,水を手本として、心を水のようにせよ,宮本武蔵『五輪書』,老年男性A,現代語訳
21,セリフ,素晴らしいリーダーシップでした,同僚（打ち上げ）,若手男性,01:13
21,セリフ,あなたがいなければ成功しなかった,主人公（願望）,若手女性,01:38 内心
22,引用,「我と汝」という根源語は、全存在をもってのみ語りうる。,ブーバー,老年男性B,
22,引用,若者ナルキッソスは、水面に映る自分を他者と見誤った。鏡による自己の拡張が、彼の知覚を麻痺させたのだ。,マクルーハン,老年男性C,
22,引用,人を乱すのは、物事そのものではなく、物事についての判断である。,エピクテトス,老年男性D,
22,引用,食べるときは、食べる。歩くときは、歩く。,ティク・ナット・ハン,老年男性A,
23,引用,ある者は周囲の対象によって動かされ、ある者は自らの内面によって動かされる。,ユング,老年男性B,
23,引用,永遠の相の下に。,スピノザ,老年男性C,
23,引用,時維摩詰默然無言。,『維摩経』,老年男性D,原文
23,引用,そのとき維摩、黙然として言うこと無し。,『維摩経』,老年男性A,書き下し
23,セリフ,このプロジェクトについて、意見はありますか？,会議進行役,中年男性,01:08
23,セリフ,対立を超えた真理を、どう語ればいい？,文殊菩薩,老年男性B,
23,セリフ,それって、こういうことですか？,主人公（着地）,若手女性,07:30
24,引用,第三者の登場によって、普遍性の契機が加わる,ジンメル,老年男性C,
24,引用,其言必信、其行必果、己諾必誠,司馬遷『史記』游侠列伝,老年男性D,原文漢文
24,引用,その言葉は必ず信じられ、その行いは必ず果たされ、引き受けたことは必ず誠実にやり遂げる,司馬遷『史記』游侠列伝,老年男性A,現代語訳
24,引用,社会構造の穴の近くに立つ人間は、良いアイデアを持つ可能性が高い,ロナルド・バート,老年男性B,
24,セリフ,あの人、どっち派？,同僚（噂話）,若手女性B,00:04
24,セリフ,最近、B部長のところとうまくやってるみたいだね,A部長派の先輩,中年男性,01:21
24,セリフ,今度の企画、君に任せたいんだけど,B部長,中年男性B,01:31
25,引用,アノミーは、現代社会において、自殺の恒常的かつ特有の要因である,デュルケーム,老年男性C,
25,引用,我々が働くのは、余暇を得るためである,アリストテレス,老年男性D,
25,セリフ,お先に失礼します,主人公,若手女性,01:22
25,セリフ,休んでいるはずなのに、休めていない,主人公（内心）,若手女性,01:45
